Inv Transaction,Supplier Name,Headserv Name,Stratdir Name,Account Description ,Redact Name,Paid Date,Sum of Inv Amount,,,,,,,,,,,,,,,,,,,,,,,,
460285,CYNGOR ALCOHOL INFORMATION SERVICE - CAIS,Public Health,Public Health,Residential Home Long Stay Fees,,24/09/14,"1,900.96 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,DANSHELL HEALTHCARE LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"17,080.00 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,DOM POLSKI CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,815.64 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,DRYCLOUGH MANOR CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,635.00 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,EAGLE HOUSE CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"3,034.59 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,EDGE HILL RESIDENTIAL HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,881.43 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,EHC MOSTON GRANGE LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"41,913.75 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,ELDER HOMES GROUP,Adult Services,"Community, Adult & Adults Early Intervention",Residents Long Stay Fee Income,,24/09/14,475.24 ,,,,,,,,,,,,,,,,,,,,,,,,
460285,ELDER HOMES GROUP,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"46,403.36 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,FAIRFIELD VIEW CARE LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"44,166.15 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,FERN BANK,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"21,733.29 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,FIELDHOUSE CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,171.00 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,FIRBANK HOUSE NURSING & RESIDENTIAL CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"13,952.88 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,FOUR SEASONS (DFK) LTD T/AS ASHURST PARK CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,118.26 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,FOUR SEASONS HEALTH CARE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"31,673.65 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,GLENROYD CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,729.20 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,GRANGEFIELD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,995.68 ,,,,,,,,,,,,,,,,,,,,,,,,
460285,GREEN PARK,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"9,936.00 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,HATTON GRANGE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"101,038.19 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,HC ONE OF A KIND - GUIDE LANE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"30,562.99 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,HC ONE OF A KIND - KINGS PARK,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"43,901.30 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,HC ONE OF A KIND - WINDSOR COURT,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,209.66 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,HC-ONE LIMITED,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,096.78 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,HOLME MANOR RESIDENTIAL CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,346.51 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,JIGSAW CREATIVE CARE LIMITED,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"7,915.71 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,L & M HEALTHCARE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"2,403.81 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,LAUREL BANK RESIDENTIAL CARE HOME LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"9,424.84 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,LIGHTBOWNE HALL,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"7,827.89 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,LINWOOD PARK,Public Health,Public Health,Residential Home Long Stay Fees,,24/09/14,"3,392.85 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,LOUTH CARE LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,731.43 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,LYNWOOD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,982.14 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,MARINERS COURT CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,893.00 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,MARPLE DALE HALL LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"2,616.18 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,MERIDIAN HEALTHCARE LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residents Long Stay Fee Income,,24/09/14,"4,429.06 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,MERIDIAN HEALTHCARE LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"696,190.27 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,MOSS COTTAGE NURSING HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residents Long Stay Fee Income,,24/09/14,"1,425.72 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,MOSS COTTAGE NURSING HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"33,994.58 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,MRS P RUGGEE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,Business Payment,24/09/14,"3,749.19 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,OAKWOOD CARE CENTRE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"12,280.19 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,PARK VILLA (OWNED BY CARE UK),Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"20,435.00 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,PENDLEBURY CARE HOMES LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,787.70 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,PENNINE CARE CENTRE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"3,601.69 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,POLEBANK HALL RESIDENTIAL CARE HOME LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"3,952.11 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,PROGRESS ADULT SERVICES LIMITED,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"13,797.21 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,SEYMOUR REST HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"2,432.76 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,SIGN,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"5,041.13 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,SPINAL UNIT ACTION GROUP,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"4,042.03 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,ST GEORGE'S NURSING HOME (OLDHAM) LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"25,915.33 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,ST GEORGE'S RESIDENTIAL CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,766.58 ,,,,,,,,,,,,,,,,,,,,,,,,
460285,ST LAWRENCES LODGE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,519.42 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,STALEY HOUSE EPH,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"18,575.61 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,SUNNY BANK PRS LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"2,636.11 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,THE ALEXANDRA,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,881.43 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,THE DAVID LEWIS CENTRE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"4,866.47 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,THE FREMANTLE TRUST,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"2,962.71 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,THE HESLEY GROUP LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"7,560.00 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,THE JOSEPH COX CHARITY,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"3,522.43 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,THE OLD VICARAGE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"10,923.31 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,THE ROYAL ELMS REST HOMES,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,782.17 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,THE VICARAGE RESIDENTIAL CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"18,852.91 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,THORNCLIFFE GRANGE NURSING HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"36,246.47 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,TURNING POINT,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"4,877.57 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,TURNING POINT,Public Health,Public Health,Residential Home Long Stay Fees,,24/09/14,"3,365.02 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,UNITED RESPONSE,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"6,172.54 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,VICTORIA NURSING HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"8,485.71 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,WESTMINSTER HEALTH CARE LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"5,979.23 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,WINDMILL CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"1,945.29 ",,,,,,,,,,,,,,,,,,,,,,,,
460285,WOODLANDS RESIDENTIAL CARE HOME,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,24/09/14,"9,761.84 ",,,,,,,,,,,,,,,,,,,,,,,,
460286,MERIDIAN HEALTHCARE LTD,Adult Services,"Community, Adult & Adults Early Intervention",Residential Home Long Stay Fees,,25/09/14,"37,635.76 ",,,,,,,,,,,,,,,,,,,,,,,,
470583,ACORN LIGHTING SERVICES LTD,Technical,Places,Sub-contractor Services,,01/09/14,"1,640.00 ",,,,,,,,,,,,,,,,,,,,,,,,
470583,AGGREGATE INDUSTRIES UK LIMITED,Technical,Places,General Materials,,01/09/14,"1,970.77 ",,,,,,,,,,,,,,,,,,,,,,,,
470583,BENCHMARK BUILDING SUPPLIES LTD,Civil Engineers,"Economic Growth, Investment and Sustainability",Debits Goods Received,,01/09/14,"1,292.60 ",,,,,,,,,,,,,,,,,,,,,,,,
470583,FAIRWAY LANDSCAPES LTD,Technical,Places,Sub-contractor Services,,01/09/14,"4,947.35 ",,,,,,,,,,,,,,,,,,,,,,,,
470583,MARWOOD ELECTRICAL CO,Civil Engineers,"Economic Growth, Investment and Sustainability",Debits Goods Received,,01/09/14,776.04 ,,,,,,,,,,,,,,,,,,,,,,,,
470583,MARWOOD ELECTRICAL CO,Technical,Places,General Materials,,01/09/14,"5,399.10 ",,,,,,,,,,,,,,,,,,,,,,,,
470583,NEW CHARTER BUILD CO LTD,Technical,Places,Sub-contractor Services,,01/09/14,771.15 ,,,,,,,,,,,,,,,,,,,,,,,,
470583,PG FABRICATIONS,Multiple Heads of Service,Multiple Strategic Directorates,Tax Retained Sub Contractors,,01/09/14,-115.20 ,,,,,,,,,,,,,,,,,,,,,,,,
470583,PG FABRICATIONS,Technical,Places,General Materials,,01/09/14,42.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470583,PG FABRICATIONS,Technical,Places,Sub-contractor Services,,01/09/14,950.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470583,PREMIER WASTE (UK) LTD,Technical,Places,General Materials,,01/09/14,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470583,PREMIER WASTE (UK) LTD,Technical,Places,Sub-contractor Services,,01/09/14,"3,721.50 ",,,,,,,,,,,,,,,,,,,,,,,,
470583,REACTEC LIMITED,Technical,Places,General Materials,,01/09/14,800.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470583,REACTEC LIMITED,Technical,Places,Training Course Costs,,01/09/14,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470583,SECURETASK SECURITY LTD,Technical,Places,Sub-contractor Services,,01/09/14,"1,173.66 ",,,,,,,,,,,,,,,,,,,,,,,,
470584,AGGREGATE INDUSTRIES UK LIMITED,Technical,Places,General Materials,,10/09/14,"1,791.65 ",,,,,,,,,,,,,,,,,,,,,,,,
470584,ALTITUDE SERVICES,Technical,Places,Sub-contractor Services,,10/09/14,"2,213.09 ",,,,,,,,,,,,,,,,,,,,,,,,
470584,BENCHMARK BUILDING SUPPLIES LTD,Technical,Places,General Materials,,10/09/14,"1,797.74 ",,,,,,,,,,,,,,,,,,,,,,,,
470584,CASTINGS SERVICES NW LTD,Civil Engineers,"Economic Growth, Investment and Sustainability",Debits Goods Received,,10/09/14,"1,065.00 ",,,,,,,,,,,,,,,,,,,,,,,,
470584,EAGLE CIVIL ENGINEERING LTD,Technical,Places,General Materials,,10/09/14,"2,648.90 ",,,,,,,,,,,,,,,,,,,,,,,,
470584,EAGLE CIVIL ENGINEERING LTD,Technical,Places,Sub-contractor Services,,10/09/14,"1,843.93 ",,,,,,,,,,,,,,,,,,,,,,,,
470584,ELLIOTT GROUP LTD,Technical,Places,General Materials,,10/09/14,841.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470584,PG FABRICATIONS,Technical,Places,General Materials,,10/09/14,900.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470584,SECURETASK SECURITY LTD,Technical,Places,Sub-contractor Services,,10/09/14,"1,173.66 ",,,,,,,,,,,,,,,,,,,,,,,,
470584,TARMAC CENTRAL LIMITED,Technical,Places,General Materials,,10/09/14,"1,587.31 ",,,,,,,,,,,,,,,,,,,,,,,,
470584,W DAVENPORT,Multiple Heads of Service,Multiple Strategic Directorates,Tax Retained Sub Contractors,Business Payment,10/09/14,-148.40 ,,,,,,,,,,,,,,,,,,,,,,,,
470584,W DAVENPORT,Technical,Places,Sub-contractor Services,Business Payment,10/09/14,742.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470584,ZODION LTD,Engineers Client,"Economic Growth, Investment and Sustainability",General Materials,,10/09/14,"2,209.41 ",,,,,,,,,,,,,,,,,,,,,,,,
470585,AGGREGATE INDUSTRIES UK LIMITED,Technical,Places,General Materials,,15/09/14,"2,170.19 ",,,,,,,,,,,,,,,,,,,,,,,,
470585,GRAFTON MERCHANTING GB LTD,Civil Engineers,"Economic Growth, Investment and Sustainability",Debits Goods Received,,15/09/14,"1,041.50 ",,,,,,,,,,,,,,,,,,,,,,,,
470585,INSTARMAC GROUP PLC,Civil Engineers,"Economic Growth, Investment and Sustainability",Debits Goods Received,,15/09/14,839.20 ,,,,,,,,,,,,,,,,,,,,,,,,
470585,J HOPKINS CONTRACTORS  LTD,Civil Engineers,"Economic Growth, Investment and Sustainability",Debits Goods Received,,15/09/14,216.21 ,,,,,,,,,,,,,,,,,,,,,,,,
470585,J HOPKINS CONTRACTORS  LTD,Technical,Places,General Materials,,15/09/14,296.85 ,,,,,,,,,,,,,,,,,,,,,,,,
470585,MALLATITE LTD,Civil Engineers,"Economic Growth, Investment and Sustainability",Debits Goods Received,,15/09/14,598.20 ,,,,,,,,,,,,,,,,,,,,,,,,
470585,MALLATITE LTD,Technical,Places,General Materials,,15/09/14,"14,782.50 ",,,,,,,,,,,,,,,,,,,,,,,,
470585,MALLATITE LTD,Technical,Places,Stores Purchases,,15/09/14,150.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470585,P CASEY (ENVIRO) LTD,Technical,Places,General Materials,,15/09/14,"17,138.04 ",,,,,,,,,,,,,,,,,,,,,,,,
470585,P F CUSACK LTD,Civil Engineers,"Economic Growth, Investment and Sustainability",Debits Goods Received,,15/09/14,"1,034.60 ",,,,,,,,,,,,,,,,,,,,,,,,
470585,SECURETASK SECURITY LTD,Technical,Places,Sub-contractor Services,,15/09/14,"1,173.66 ",,,,,,,,,,,,,,,,,,,,,,,,
470585,STALYBRIDGE READYMIX LTD,Technical,Places,General Materials,,15/09/14,"8,511.00 ",,,,,,,,,,,,,,,,,,,,,,,,
470585,STOCKPORT MBC,Technical,Places,General Materials,,15/09/14,"2,087.81 ",,,,,,,,,,,,,,,,,,,,,,,,
470585,TARMAC CENTRAL LIMITED,Civil Engineers,"Economic Growth, Investment and Sustainability",Debits Goods Received,,15/09/14,"3,169.96 ",,,,,,,,,,,,,,,,,,,,,,,,
470585,VIRIDOR,Technical,Places,General Materials,,15/09/14,"2,657.28 ",,,,,,,,,,,,,,,,,,,,,,,,
470586,ACE SAFETY ACADEMY,Technical,Places,Training Course Costs,,22/09/14,650.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470586,ACORN LIGHTING SERVICES LTD,Technical,Places,Sub-contractor Services,,22/09/14,"11,280.00 ",,,,,,,,,,,,,,,,,,,,,,,,
470586,AGGREGATE INDUSTRIES UK LIMITED,Technical,Places,General Materials,,22/09/14,781.26 ,,,,,,,,,,,,,,,,,,,,,,,,
470586,AJC ROAD SWEEPERS,Technical,Places,Sub-contractor Services,,22/09/14,875.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470586,AMBERON LTD,Technical,Places,Additional Hire,,22/09/14,"1,104.29 ",,,,,,,,,,,,,,,,,,,,,,,,
470586,ARCO LIMITED,Civil Engineers,"Economic Growth, Investment and Sustainability",Debits Goods Received,,22/09/14,209.19 ,,,,,,,,,,,,,,,,,,,,,,,,
470586,ARCO LIMITED,Neighbourhoods & Communities,"Community, Adult & Adults Early Intervention",General Materials,,22/09/14,11.96 ,,,,,,,,,,,,,,,,,,,,,,,,
470586,ARCO LIMITED,Technical,Places,General Materials,,22/09/14,499.25 ,,,,,,,,,,,,,,,,,,,,,,,,
470586,BENCHMARK BUILDING SUPPLIES LTD,Civil Engineers,"Economic Growth, Investment and Sustainability",Debits Goods Received,,22/09/14,25.90 ,,,,,,,,,,,,,,,,,,,,,,,,
470586,BENCHMARK BUILDING SUPPLIES LTD,Technical,Places,General Materials,,22/09/14,597.22 ,,,,,,,,,,,,,,,,,,,,,,,,
470586,BLOK N MESH UK LTD,Technical,Places,General Materials,,22/09/14,"2,009.00 ",,,,,,,,,,,,,,,,,,,,,,,,
470586,CARRIER RENTAL SYSTEMS (UK) LIMITED,Technical,Places,General Materials,,22/09/14,630.00 ,,,,,,,,,,,,,,,,,,,,,,,,
470586,CBS (NORTH WEST) LTD,Technical,Places,Sub-contractor Services,,22/09/14,"1,861.20 ",,,,,,,,,,,,,,,,,,,,,,,,
470586,EAGLE CIVIL ENGINEERING LTD,Technical,Places,Sub-contractor Services,,22/09/14,"5,680.97 ",,,,,,,,,,,,,,,,,,,,,,,,
470586,FAIRWAY LANDSCAPES LTD,Technical,Places,Sub-contractor Services,,22/09/14,"6,247.50 ",,,,,,,,,,,,,,,,,,,,,,,,
